species,n_date,n_loc
Malacosoma castrensis,1221,225
Malacosoma neustria,1061,744
Malcolmia flexuosa,376,264
Malus domestica,1110,835
Malus sylvestris,1003,564
Malva alcea,1322,955
Malva moschata,2667,1759
Malva neglecta,2605,1034
Malva sylvestris,3494,1875
Mamestra brassicae,1528,1150
Mangora acalypha,1744,919
Maniola jurtina,1881,2000
Manulea complana,1553,1100
Marasmius oreades,1534,1627
Marasmius rotula,709,436
Marchantia polymorpha,3108,1532
Mareca penelope,5806,1556
Mareca sibilatrix,508,169
Mareca strepera,5844,1948
Marpissa muscosa,3494,1927
Martes foina,5127,1471
Martes martes,4026,1019
Matricaria chamomilla,2777,1749
Matricaria discoidea,3455,1896
Matteuccia struthiopteris,1115,687
Meconema meridionale,2427,1791
Meconema thalassinum,1766,1271
Medicago arabica,2594,583
Medicago falcata,1805,318
Medicago lupulina,3763,1858
Medicago minima,517,72
Medicago polymorpha,359,82
Medicago sativa,2989,1708
Megachile centuncularis,482,403
Megachile ericetorum,647,551
Megachile leachella,507,121
Megachile maritima,394,109
Megachile willughbiella,953,882
Megacollybia platyphylla,1142,767
Megaloceroea recticornis,437,598
Megalonotus chiragra,305,227
Megalonotus praetextatus,319,233
Meganola albula,547,432
Megatoma undata,389,333
Melampsora euphorbiae,370,239
Melampyrum pratense,2054,493
Melanchra persicariae,1016,659
Melanelixia fuliginosa,330,136
Melanelixia glabratula,578,326
Melanelixia subaurifera,2222,990
Melangyna umbellatarum,356,271
Melanimon tibialis,343,148
Melanitta fusca,2456,334
Melanitta nigra,4315,392
Melanohalea elegantula,1033,494
Melanohalea exasperatula,1003,477
Melanohalea laciniatula,321,180
Melanoleuca cinereifolia,337,101
Melanomya nana,494,419
Melanostoma mellina,1945,1611
Melanostoma scalare,2066,1420
Melanthia procellata,660,144
Melecta albifrons,315,214
Meles meles,5289,973
Melica uniflora,1425,146
Melieria omissa,341,265
Melilotus albus,2667,1507
Melilotus altissimus,1606,919
Melilotus officinalis,1531,794
Meliscaeva auricollis,1814,1370
Melissa officinalis,2145,1219
Melitta haemorrhoidalis,605,566
Melitta nigricans,470,573
Mellinus arvensis,1469,1382
Meloe proscarabaeus,516,150
Melolontha hippocastani,319,52
Melolontha melolontha,786,797
Mentha aquatica,4209,1834
Mentha arvensis,1357,744
Mentha longifolia,1310,269
Mentha pulegium,850,231
Mentha spicata,365,274
Mentha suaveolens,938,246
Menyanthes trifoliata,2495,867
Mercurialis annua,3046,502
Mercurialis perennis,1223,90
Mergellus albellus,3413,978
Mergus merganser,3910,1446
Mergus serrator,5107,687
Meripilus giganteus,1865,1164
Merlangius merlangus,1112,167
Merodon equestris,1010,1473
Merops apiaster,1232,363
Mesapamea secalis,1170,1635
Mesembrina meridiana,2707,1550
Mesoleuca albicillata,599,321
Mesoligia furuncula,1085,1429
Mesosa nebulosa,308,200
Mespilus germanica,1783,672
Metatropis rufescens,605,258
Metellina merianae,444,238
Metendothenia atropunctana,490,295
Metopoplax ditomoides,376,288
Metrioptera brachyptera,1511,366
Metzgeria furcata,2357,902
Micarea denigrata,765,443
Microchrysa flavicornis,398,347
Microchrysa polita,924,717
Micromus angulatus,702,531
Micromus variegatus,1070,953
Micromys minutus,2191,1003
Micropeza corrigiolata,381,294
Micropterix aruncella,332,293
Microtus arvalis,3480,1317
Microtus oeconomus,394,104
Mikiola fagi,1590,696
Milium effusum,1926,300
Miltochrista miniata,1239,697
Milvus migrans,1522,1143
Milvus milvus,3898,1753
Mimachlamys varia,913,122
Mimas tiliae,1772,1462
Minettia longipennis,1223,992
Mintho rufiventris,485,371
Mirabilis jalapa,457,237
Miris striatus,885,1236
Misgurnus fossilis,673,228
Misopates orontium,763,244
Misumena vatia,2151,544
Mitopus morio,400,241
Mnemiopsis leidyi,1233,164
Mnium hornum,3115,1106
Moehringia trinervia,2718,777
Molanna angustata,1086,714
Molinia caerulea,4497,1027
Moma alpium,723,611
Mompha epilobiella,757,500
Monacha cantiana,1032,387
Monacha cartusiana,825,236
Monachoides incarnatus,656,100
Monalocoris filicis,505,277
Mononychus punctumalbum,654,782
Monopis monachella,748,172
Monoraphidium contortum,357,230
Monosapyga clavicornis,307,241
Montia arvensis,1378,775
Morchella esculenta,485,213
Mormo maura,1693,1547
Morus bassanus,3582,325
Motacilla alba,5751,2098
Motacilla cinerea,5685,1616
Motacilla flava,3143,1862
Mucidula mucida,1411,707
Mucilago crustacea,921,1063
Mus musculus,3757,890
Musca autumnalis,1876,1391
Muscari armeniacum,1062,1164
Muscari botryoides,393,253
Muscari comosum,550,54
Muscicapa striata,2706,1727
Musculium lacustre,488,539
Mustela erminea,3439,680
Mustela nivalis,3368,1338
Mustela putorius,4996,1685
Mutinus caninus,957,546
Mutinus ravenelii,646,401
Mya arenaria,2284,335
Mya truncata,898,113
Myathropa florea,2718,1886
Mycelis muralis,4002,866
Mycena acicula,878,599
Mycena arcangeliana,376,294
Mycena crocata,328,69
Mycena galericulata,1242,789
Mycena galopus,329,264
Mycena haematopus,1410,1190
Mycena inclinata,421,282
Mycena polygramma,301,223
Mycena pseudocorticola,724,571
Mycena pura,697,528
Mycena rosea,910,637
Mycena tenerrima,393,254
Mycosphaerella podagrariae,341,207
Myelois circumvoluta,392,384
Myocastor coypus,3361,476
Myodes glareolus,4128,1343
Myopites apicatus,514,178
Myosotella myosotis,327,111
Myosotis arvensis,3436,1871
Myosotis discolor,1157,1271
Myosotis laxa,2289,1210
Myosotis ramosissima,1536,795
Myosotis scorpioides,3018,1506
Myosotis sylvatica,1157,1231
Myosurus minimus,994,457
Myotis dasycneme,1081,324
Myotis daubentonii,1564,393
Myotis mystacinus,403,126
Myotis nattereri,410,149
Myoxocephalus scorpius,444,93
Myrica gale,3682,606
Myriocoleopsis minutissima,761,321
Myriolecis crenulata,375,238
Myriophyllum aquaticum,901,293
Myriophyllum spicatum,1872,845
Myriophyllum verticillatum,397,132
Myriostoma coliforme,1806,81
Myrmeleon formicarius,382,197
Myrmeleotettix maculatus,2421,748
Myrmica rubra,938,487
Myrmica ruginodis,487,265
Myrmica sabuleti,450,221
Myrmus miriformis,917,514
Myrrha octodecimguttata,1416,569
Myrrhis odorata,596,312
Mystacides azureus,841,527
Mystacides longicornis,1854,1484
Mystacides nigra,1133,828
Mythimna albipuncta,1830,1395
Mythimna ferrago,622,597
Mythimna impura,765,673
Mythimna l-album,1025,863
Mythimna litoralis,968,130
Mythimna pallens,836,624
Mythimna pudorina,310,188
Mythimna straminea,510,371
Mythimna vitellina,715,812
Mytilus edulis,3618,327
Myxarium nucleatum,1069,606
Myzia oblongoguttata,1043,383
Nabis limbatus,486,345
Naenia typica,336,246
Naetrocymbe punctiformis,324,216
Najas marina,501,114
Nalassus laevioctostriatus,1376,555
Narcissus hispanicus,349,306
Narcissus pseudonarcissus,671,520
Nardus stricta,2146,449
Narthecium ossifragum,1669,145
Nassella tenuissima,555,230
Nasturtium microphyllum,1209,734
Nasturtium officinale,737,288
Nasturtium sterile,2116,1064
Natrix helvetica,3496,520
Nebria brevicollis,675,498
Necora puber,787,112
Necrodes littoralis,613,495
Nectria cinnabarina,1439,816
Nedyus quadrimaculatus,439,305
Nemastoma dentigerum,306,193
Nematopogon adansoniella,377,457
Nematopogon swammerdamella,361,438
Nematus tibialis,315,221
Nemobius sylvestris,2379,305
Nemophora degeerella,786,1588
Nemopoda nitidula,536,414
Nemotelus pantherina,442,348
Nemoura cinerea,536,284
Neoascia podagrica,818,357
Neoascia tenur,523,308
Neobulgaria pura,313,106
Neofaculta ericetella,333,198
Neogobius fluviatilis,587,215
Neogobius melanostomus,2427,719
Neoitamus cyanurus,1147,1212
Neolentinus cyathiformis,312,68
Neomochtherus pallipes,477,305
Neomyia cornicina,726,393
Neomys fodiens,593,258
Neoscona adianta,469,239
Neottia ovata,1502,399
Neottiglossa pusilla,396,206
Nepa cinerea,1527,1105
Nepeta cataria,657,207
Nepeta racemosa,1149,559
Nephopterix angustella,1030,604
Nephrotoma appendiculata,610,954
Nephrotoma cornicina,350,357
Nephrotoma crocata,1158,642
Nephrotoma flavescens,339,282
Nephrotoma flavipalpis,854,743
Nephrotoma guestfalica,336,438
Nephrotoma pratensis,308,253
Nephrotoma quadrifaria,711,778
Nephrotoma scurra,588,630
Nephrotoma submaculosa,326,259
Nephus quadrimaculatus,724,362
Neriene clathrata,322,219
Neriene montana,616,389
Nesticus cellulanus,326,80
Netta rufina,5682,803
Neureclipsis bimaculata,587,305
Neuroterus albipes,1330,1282
Neuroterus anthracinus,1191,823
Neuroterus numismalis,1472,1256
Neuroterus quercusbaccarum,2314,1428
Nezara viridula,1245,831
Nicandra physalodes,2061,1331
Nicotiana sylvestris,302,66
Nicrophorus humator,681,503
Nicrophorus vespillo,1089,953
Nicrophorus vespilloides,1547,939
Nigella damascena,847,656
Nigma flavescens,362,257
Nigma walckenaeri,1879,1191
Nineta flava,340,304
Niphotrichum canescens,1140,124
Nitella flexilis,360,212
Noctua comes,2727,1583
Noctua fimbriata,1646,1218
Noctua interjecta,883,929
Noctua janthe,1463,1450
Noctua pronuba,3783,2046
Nola aerugula,672,510
Nola confusalis,510,359
Nola cucullatella,466,392
Nomada fabriciana,459,343
Nomada ferruginata,335,322
Nomada fucata,585,467
Nomada fulvicornis,324,265
Nomada goodeniana,452,532
Nomada lathburiana,446,422
Nomada marshamella,318,276
Nomada rufipes,420,250
Nomada succincta,345,263
Nomada zonata,337,272
Nomophila noctuella,1463,1376
Nonagria typhae,379,324
Nordmannia ilicis,624,72
Normandina pulchella,1891,733
Noterus clavicornis,400,471
Notidobia ciliaris,319,252
Notiophilus biguttatus,400,306
Notiophilus rufipes,511,309
Notiophilus substriatus,308,197
Notocelia cynosbatella,577,678
Notocelia rosaecolana,556,407
Notocelia uddmanniana,1357,1132
Notodonta dromedarius,1777,1274
Notodonta tritophus,712,467
Notodonta ziczac,1733,1145
Notonecta glauca,1487,1096
Notonecta obliqua,311,170
Notonecta viridis,443,285
Notostira elongata,1865,1303
Notoxus monoceros,1194,889
Nowellia curvifolia,353,120
Nucella lapillus,686,102
Nuctenea umbratica,3180,1772
Numenius arquata,5844,1839
Numenius phaeopus,2708,1264
Numida meleagris,669,341
Nuphar lutea,2970,1336
Nyctalus noctula,2029,629
Nycteola revayana,1488,834
Nycticorax nycticorax,3581,555
Nyctobrya muralis,635,475
Nyea lurideola,584,356
Nymphaea alba,2387,1262
Nymphaea marliacea,1191,811
Nymphalis polychloros,1414,1341
Nymphoides peltata,2180,1003
Nymphula nitidulata,1137,796
Nysius huttoni,546,346
Nysius senecionis,520,326
Oberea oculata,399,224
Obolodiplosis robiniae,841,494
Ocenebra erinaceus,380,81
Ochina ptinoides,344,349
Ochlodes venata,1416,1491
Ochropacha duplaris,756,466
Ochropleura plecta,2266,1587
Ocypus olens,672,864
Odiellus spinosus,874,539
Odontites vernus,1853,690
Odontites vulgaris,1155,406
Odontomyia ornata,609,635
Odontomyia tigrina,501,543
Odontopera bidentata,385,226
Oecanthus pellucens,690,156
Oecetis furva,735,640
Oecetis lacustris,973,871
Oecetis ochracea,1657,1288
Oecophora bractella,399,277
Oedemera croceicollis,455,387
Oedemera nobilis,552,762
Oedipoda caerulescens,2068,764
Oenanthe aquatica,2402,801
Oenanthe fistulosa,1606,575
Oenanthe lachenalii,1299,106
Oenanthe oenanthe,3643,1927
Oenopia conglobata,2862,1532
Oenothera biennis,924,610
Oenothera glazioviana,2116,1382
Oenothera lindheimeri,305,187
Oenothera oakesiana,535,97
Oenothera oehlkersii,431,303
Oenothera parviflora,1231,813
Oiceoptoma thoracicum,1206,833
Olethreutes arcuella,934,868
Olethreutes schulziana,461,186
Oligia fasciuncula,759,1237
Oligia latruncula,467,391
Oligia strigilis,688,1030
Oligolophus hansenii,314,154
Oligotricha striata,453,246
Omalophora pectoralis,366,352
Ommatoiulus sabulosus,426,179
Omocestus rufipes,1273,266
Omocestus viridulus,1519,722
Omphalodes verna,302,268
Oncocera semirubella,1173,782
Ondatra zibethicus,4741,1833
Oniscus asellus,2991,1625
Onobrychis viciifolia,837,248
Ononis spinosa,2712,672
Onopordum acanthium,686,418
Opegrapha niveoatra,443,310
Opegrapha vermicellifera,784,314
Operophtera brumata,1616,1414
Ophioglossum vulgatum,1056,197
Ophion minutus,410,779
Ophion obscuratus,860,1419
Ophiura ophiura,1250,150
Ophrys apifera,2108,642
Opilio canestrinii,2960,1695
Opisthograptis luteolata,2737,1757
Oplodontha viridula,884,840
Opomyza germinationis,404,323
Orchesella cincta,786,366
Oreopteris limbosperma,521,97
Orgyia antiqua,2542,1647
Orientus ishidae,592,383
Origanum vulgare,3341,1401
Oriolus oriolus,1834,877
Ornithogalum nutans,796,348
Ornithogalum umbellatum,1912,1806
Ornithopus perpusillus,3815,1092
Ornithopus sativus,608,319
Orobanche caryophyllacea,1282,87
Orobanche hederae,1666,251
Orobanche minor,910,193
Orsillus depressus,485,277
Orthetrum brunneum,966,152
Orthetrum cancellatum,2327,2012
Orthetrum coerulescens,1467,364
Orthodicranum montanum,334,207
Orthodontium lineare,641,362
Orthonama obstipata,491,361
Orthonama vittata,459,302
Orthops basalis,737,484
Orthops campestris,471,327
Orthosia cerasi,1739,1485
Orthosia cruda,1380,1289
Orthosia gothica,1179,1166
Orthosia gracilis,324,237
Orthosia incerta,1186,1164
Orthosia miniosa,523,378
Orthosia populeti,331,288
Orthotaenia undulana,515,424
Orthotrichia costalis,502,448
Orthotrichum anomalum,1510,987
Orthotrichum diaphanum,1375,791
Orthotrichum pulchellum,593,365
Orthotylus flavosparsus,406,320
Orthotylus marginalis,310,363
Oryctes nasicornis,1055,816
Oryctolagus cuniculus,5757,1793
Osmerus eperlanus,670,211
Osmia bicornis,1414,1719
Osmia caerulescens,832,578
Osmia cornuta,842,1129
Osmia spinulosa,407,74
Osmunda regalis,3419,1014
Ostrea edulis,2067,258
Ostrinia nubilalis,860,711
Otidea onotica,563,299
Otiorhynchus ovatus,369,287
Otiorhynchus sulcatus,798,516
Oulema duftschmidi,1131,812
Ourapteryx sambucaria,926,1224
Ovis aries,2085,725
Oxalis acetosella,2927,509
Oxalis corniculata,3745,1619
Oxalis stricta,2429,1293
Oxybasis glauca,1794,877
Oxybasis rubra,1975,1059
Oxybelus bipunctatus,439,366
Oxybelus uniglumis,483,340
Oxycarenus lavaterae,1589,710
Oxycarenus modestus,421,219
Oxycera leonina,400,271
Oxychilus alliarius,559,290
Oxychilus draparnaudi,1101,498
Oxyethira flavicornis,746,434
Oxyopes ramosus,608,186
Oxypselaphus obscurus,614,286
Oxyrrhynchium hians,853,456
Oxythyrea funesta,818,498
Oxyura jamaicensis,2478,243
Pachycnemia hippocastanaria,992,427
Pachygaster atra,337,356
Pachygnatha clercki,376,252
Pachygnatha degeeri,408,245
Pachyprotasis rapae,528,477
Pachysandra terminalis,563,285
Pachytodes cerambyciformis,723,759
Pagurus bernhardus,1090,133
Paidiscura pallens,369,250
Palloptera muliebris,843,639
Palomena prasina,4241,1973
Palpita vitrealis,845,635
Pammene aurana,590,863
Pammene aurita,359,255
Pammene regiana,300,214
Pamponerus germanicus,670,453
Panaeolus papilionaceus,734,424
Panaeolus semiovatus,687,211
Pandemis cerasana,1234,1102
Pandemis heparana,1213,948
Pandion haliaetus,3419,1471
Panellus mitis,380,194
Panellus stipticus,2244,1097
Panemeria tenebrata,492,733
Panicum capillare,620,377
Panicum miliaceum,1112,740
Panolis flammea,870,576
Panorpa cognata,674,394
Panorpa communis,2295,1731
Panorpa germanica,2146,1654
Panthea coenobita,1003,452
Pantilius tunicatus,912,1117
Panurgus calcaratus,525,525
Panurus biarmicus,5646,669
Papaver atlanticum,1348,359
Papaver cambricum,2146,1033
Papaver dubium,2875,1401
Papaver rhoeas,3093,1802
Papaver somniferum,1637,1250
Papilio machaon,2601,1812
Paracolax tristalis,458,230
Paracorymbia fulva,710,830
Paradromius linearis,795,392
Paragus haemorrhous,937,709
Paralepista flaccida,1051,884
Paramesia gnomana,542,235
Paranectria oropensis,674,378
Paranthrene tabaniformis,326,228
Parapholis strigosa,665,155
Parapoynx stratiotata,1722,1195
Pararge aegeria,3633,2074
Parascotia fuliginaria,653,599
Parasteatoda tepidariorum,623,337
Parasyrphus punctulatus,402,349
Parectropis similaria,642,533
Pareulype berberata,464,79
Parexochomus nigromaculatus,557,182
Parhelophilus frutetorum,321,323
Parhelophilus versicolor,339,284
Parietaria judaica,3283,460
Parietaria officinalis,1684,236
Paris quadrifolia,1498,161
Paritamus geniculatus,524,373
Parmelia saxatilis,1117,333
Parmelia sulcata,3973,1720
Parmelina tiliacea,538,273
Parmotrema perlatum,2949,1304
Parnassia palustris,2617,360
Paroligolophus agrestis,1154,703
Parthenocissus quinquefolia,345,234
Parus major,5844,2105
Pasiphila rectangulata,1027,1086
Passer domesticus,5844,2061
Passer montanus,5836,1724
Pastinaca sativa,3404,1509
Pastor roseus,676,160
Patella vulgata,1058,140
Paulownia tomentosa,1115,461
Pavo cristatus,755,357
Paxillus involutus,1246,865
Pechipogo plumigeralis,991,805
Pediasia contaminella,782,361
Pediasia fascelinella,688,247
Pedicularis palustris,2792,500
Pedicularis sylvatica,1786,205
Pelecanus onocrotalus,627,149
Pelecocera tricincta,327,104
Peleteria rubescens,605,153
Pellenes tripunctatus,473,181
Pellia epiphylla,574,270
Pelobates fuscus,776,67
Pelophylax lessonae,1876,669
Pelophylax ridibundus,1364,626
Pelosia muscerda,1362,973
Peltigera canina,1628,195
Peltigera didactyla,1289,656
Peltigera hymenina,313,137
Peltigera rufescens,1090,368
Pelurga comitata,638,549
Pempelia palumbella,435,208
Pemphigus spyrothecae,377,201
Peniophora quercina,1252,671
Pennithera firmata,406,123
Pentaglottis sempervirens,3206,1538
Pentatoma rufipes,3195,1860
Pepsis cyanea,643,463
Perca fluviatilis,4925,1676
Perconia strigillaria,431,269
Perdix perdix,5833,1228
Peribatodes rhomboidaria,2595,1763
Peribatodes secundaria,760,412
Peridea anceps,994,889
Peridroma saucia,464,249
Peringia ulvae,1010,217
Periparus ater,3906,1207
Peritrechus geniculatus,428,237
Perizoma albulata,714,281
Perizoma alchemillata,1088,1058
Perizoma flavofasciata,805,539
Pernis apivorus,2286,1617
Persicaria amphibia,3010,1815
Persicaria capitata,373,123
Persicaria hydropiper,2539,1304
Persicaria lapathifolia,2308,1561
Persicaria lapathifolia x maculosa,1518,1707
Persicaria maculosa,2607,1503
Persicaria minor,997,541
Persicaria mitis,1106,638
Pertusaria coccodes,308,124
Pertusaria leioplaca,496,118
Pertusaria pertusa,568,170
Petasites hybridus,3622,1443
Petasites japonicus,918,247
Petricolaria pholadiformis,2738,179
Petrophora chlorosata,861,573
Petrorhagia prolifera,902,137
Petrorhagia saxifraga,360,116
Peziza ammophila,761,104
Phacelia tanacetifolia,2539,1889
Phaeolepiota aurea,501,287
Phaeolus schweinitzii,2556,839
Phaeophyscia orbicularis,3145,1462
Phaeostigma notatum,329,230
Phaeotremella foliacea,445,266
Phalacrocorax aristotelis,3115,208
Phalacrocorax carbo,5844,2046
Phalangium opilio,1673,1039
Phalaris arundinacea,3493,1725
Phalaris canariensis,472,358
Phalaropus fulicarius,1051,269
Phalaropus lobatus,1648,274
Phalera bucephala,2309,1875
Phallus hadriani,637,125
Phallus impudicus,2143,1168
Phaneroptera falcata,1586,886
Phaonia subventa,354,196
Phaonia tuguriorum,590,304
Phaonia valida,432,344
Phasia aurigera,584,520
Phasia hemiptera,734,660
Phasianus colchicus,5844,1987
Phedimus spurius,1666,663
Phellinus pomaceus,474,280
Phellinus populicola,413,55
Pheosia gnoma,1691,934
Pheosia tremula,1669,1095
Pherbellia cinerella,410,184
Phibalapteryx virgata,890,66
Phigalia pilosaria,1459,1036
Philaenus spumarius,1284,993
Philanthus triangulum,1437,1550
Philereme transversata,381,209
Philereme vetulata,382,412
Philhelius dives,458,211
Philhelius pedissequum,1243,929
Philodromus dispar,1320,923
Philodromus margaritatus,624,251
Philonicus albiceps,1239,796
Philonotis fontana,348,177
Philopedon plagiatum,563,343
Philophylla caesio,430,333
Philoscia muscorum,2912,1611
Phlebia radiata,1846,1082
Phlebia tremellosa,2053,1175
Phlegra fasciata,367,190
Phleogena faginea,674,300
Phleum arenarium,1941,190
Phleum pratense,2298,1754
Phlogophora meticulosa,4347,1898
Phlyctis argena,2433,1084
Phoca vitulina,5744,412
Phocoena phocoena,5280,314
Phoenicopterus chilensis,1683,217
Phoenicopterus roseus,3295,230
Phoenicurus ochruros,5420,1817
Phoenicurus phoenicurus,3289,1696
Pholcus phalangioides,1888,956
Pholidoptera griseoaptera,2604,520
Pholiota adiposa,462,252
Pholiota flammans,354,175
Pholiota gummosa,369,279
Pholiota populnea,714,468
Pholiota squarrosa,947,804
Pholis gunnellus,757,107
Phosphaenus hemipterus,384,316
Phragmataecia castaneae,607,282
Phragmatobia fuliginosa,2867,1842
Phragmidium violaceum,326,244
Phragmites australis,5344,2033
Phratora vitellinae,1007,582
Phratora vulgatissima,308,199
Phrurolithus festivus,361,191
Phryganea grandis,741,839
Phtheochroa rugosana,306,106
Phycita roborella,1161,1077
Phycitodes binaevella,545,544
Phygadeuon inaris,1024,724
Phylan gibbus,729,106
Phyllobius pomaceus,371,373
Phyllocnistis saligna,458,275
Phyllocnistis unipunctella,368,224
Phyllocnistis xenia,373,207
Phyllocoptes eupadi,667,430
Phyllonorycter coryli,743,475
Phyllonorycter corylifoliella,390,218
Phyllonorycter esperella,341,230
Phyllonorycter harrisella,564,370
Phyllonorycter leucographella,427,222
Phyllonorycter maestingella,713,399
Phyllonorycter nicellii,342,256
Phyllonorycter platani,647,319
Phyllonorycter quercifoliella,523,354
Phyllonorycter rajella,339,207
Phyllonorycter stettinensis,331,229
Phyllonorycter ulmifoliella,365,259
Phyllopertha horticola,764,1364
Phylloscopus collybita,5796,2130
Phylloscopus fuscatus,510,138
Phylloscopus humei,941,102
Phylloscopus ibericus,618,71
Phylloscopus inornatus,1066,695
Phylloscopus proregulus,554,148
Phylloscopus sibillatrix,1302,721
Phylloscopus trochilus,3482,1735
Phyllotopsis nidulans,1122,603
Phylus coryli,339,382
Phylus melanocephalus,446,581
Phymatocera aterrima,341,264
Phymatodes testaceus,886,1306
Phymatopus hecta,462,364
Physa fontinalis,635,584
Physalis peruviana,587,243
Physarum album,304,233
Physcia adscendens,3923,1839
Physcia aipolia,597,264
Physcia caesia,3300,1621
Physcia clementei,877,438
Physcia dubia,432,267
Physcia tenella,3305,1486
Physcia tribacioides,370,174
Physciella chloantha,308,131
Physciella nigricans,353,264
Physcomitrium pyriforme,501,355
Physella acuta,1281,835
Physiphora alceae,455,337
Physocephala rufipes,1036,1146
Phyteuma nigrum,727,64
Phytolacca acinosa,2168,1538
Phytolacca americana,1222,486
Phytoliriomyza melampyga,629,396
Phytomyza agromyzina,413,247
Phytomyza ancholiae,370,265
Phytomyza ilicis,2760,1087
Phytoptus avellanae,555,369
Pica pica,5844,2119
Picea abies,2641,799
Picea sitchensis,830,306
Picipes badius,1350,600
Picris hieracioides,2834,661
Picromerus bidens,1329,859
Picus viridis,5825,1796
Pieris brassicae,3416,2106
Pieris mannii,1595,1235
Pieris napi,3350,2097
Pieris rapae,3837,2133
Piezodorus lituratus,2266,1030
Pilosella aurantiaca,2934,1801
Pilosella caespitosa,389,251
Pilosella officinarum,4110,1264
Pilosella piloselloides,837,119
Pilularia globulifera,1429,316
Pimpinella major,1417,316
Pimpinella saxifraga,1641,270
Pimpla rufipes,1052,1003
Pinalitus cervinus,939,529
Pinguicula vulgaris,985,56
Piniphila bifasciana,316,188
Pinthaeus sanguinipes,392,293
Pinus nigra,1064,390
Pinus pinaster,1004,253
Pinus strobus,973,324
Pinus sylvestris,4740,1107
Pionosomus varius,386,104
Pipistrellus nathusii,2348,700
Pipistrellus pipistrellus,4721,1777
Pipiza noctiluca,301,299
Pisaura mirabilis,3923,1933
Pisidia longicornis,316,77
Placynthiella icmalea,569,315
Placynthium nigrum,589,144
Plagiodera versicolora,1089,785
Plagiognathus arbustorum,926,1181
Plagiognathus chrysanthemi,395,280
Plagiomnium affine,1818,710
Plagiomnium undulatum,2131,753
Plagionotus arcuatus,344,286
Plagioselmis nannoplanctica,395,256
Plagiosterna aenea,614,507
Plagiothecium undulatum,1155,349
Plagodis dolabraria,479,286
Planorbarius corneus,2730,1280
Planorbis carinatus,768,574
Planorbis planorbis,1097,693
Plantago arenaria,924,106
Plantago coronopus,4697,1650
Plantago lanceolata,5358,2096
Plantago major,4376,2040
Plantago maritima,2028,226
Plantago media,1780,334
Plantago uliginosa,1341,711
Platalea leucorodia,5769,1587
Platanthera bifolia,872,209
Plateumaris sericea,335,252
Platichthys flesus,1999,368
Platyarthrus hoffmannseggii,347,206
Platybunus pinetorum,395,131
Platycerus caraboides,301,140
Platycheirus albimanus,1705,1286
Platycheirus clypeatus,406,306
Platycheirus fulviventris,400,268
Platycheirus peltatus,342,234
Platycheirus scutatus,1083,730
Platycleis albopunctata,1503,105
Platycnemis pennipes,2101,1111
Platyedra subcinerea,301,220
Platynaspis luteorubra,478,246
Platynus assimilis,822,451
Platystoma seminationis,526,214
Platystomos albinus,598,447
Platytes alpinella,732,518
Plebejus argus,1427,410
Plecotus auritus,2508,817
Plectrophenax nivalis,2839,480
Plegadis falcinellus,2987,451
Plemyria rubiginata,933,809
Pleurobrachia pileus,1035,164
Pleuronectes platessa,1019,199
Pleuroptya ruralis,1405,1516
Pleurosticta acetabulum,1090,561
Pleurota bicostella,387,270
Pleurotus ostreatus,2477,1233
Pleurotus pulmonarius,395,286
Pleurozium schreberi,1745,570
Plicaturopsis crispa,1998,1156
Plodia interpunctella,2271,945
Plusia festucae,1426,1115
Plutella porrectella,513,205
Plutella xylostella,2877,1672
Pluteus cervinus,1555,771
Pluteus salicinus,614,311
Pluvialis apricaria,4562,1248
Pluvialis fulva,346,62
Pluvialis squatarola,4020,778
Pneumia nubila,497,317
Poa annua,5127,1922
Poa bulbosa,566,122
Poa compressa,996,226
Poa infirma,318,187
Poa nemoralis,1576,397
Poa palustris,694,326
Poa pratensis,2392,1536
Poa trivialis,2481,1883
Podalonia affinis,383,198
Podalonia hirsuta,352,54
Podarcis muralis,1317,164
Podiceps auritus,2521,400
Podiceps cristatus,5844,1855
Podiceps grisegena,4267,477
Podiceps nigricollis,5574,764
Podofomes mollis,468,275
Podops inunctus,710,499
Poecile montanus,3510,822
Poecile palustris,4639,754
Poecilobothrus nobilitatus,684,1091
Poecilocampa populi,820,779
Poecilus cupreus,555,573
Poecilus lepidus,657,270
Poecilus versicolor,643,461
Poeltonia grisea,3052,1358
Pogonocherus hispidus,983,664
Pohlia nutans,395,244
Polia nebulosa,437,301
Polistes biglumis,1291,562
Polistes dominula,2779,1499
Polistes nimpha,485,175
Polycarpon tetraphyllum,2839,648
Polycauliona candelaria,625,390
Polycauliona polycarpa,1536,785
Polydrusus formosus,564,574
Polygala serpyllifolia,988,132
Polygala vulgaris,2232,161
Polygonatum multiflorum,3342,1061
Polygonatum odoratum,1910,102
Polygonia c-album,3780,2040
Polygonum aviculare,3540,2017
Polymerus unifasciatus,414,99
Polymixis lichenea,480,103
Polyommatus icarus,2812,1996
Polyozosia albescens,2868,1377
Polyozosia dispersa,1706,929
Polyozosia hagenii,680,429
Polyozosia semipallida,1292,753
Polyphylla fullo,697,97
Polyploca ridens,506,468
Polypodium interjectum,378,153
Polypodium interjectum × vulgare,3041,978
Polypodium vulgare,1162,507
Polypogon monspeliensis,460,216
Polypogon viridis,1728,560
Polyporus brumalis,1551,681
Polyporus lipsiensis,2300,865
Polyporus squamosus,2604,1385
Polyporus tuberaster,921,578
Polyporus varius,931,468
Polystichum aculeatum,1552,263
Polystichum setiferum,1324,352
Polytrichum commune,1979,905
